epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5975492000579834,0.0010000000474974513,0.9657917618751526,0.7400881052017212,0.611568808555603
1,0.8255401253700256,0.0010000000474974513,0.4524933993816376,0.9030836820602417,0.2511395514011383
2,0.8532731533050537,0.0010000000474974513,0.5008537769317627,0.9251101613044739,0.2689898908138275
3,0.9081747531890869,0.0010000000474974513,0.26072797179222107,0.9251101613044739,0.21475781500339508
4,0.9386488199234009,0.0010000000474974513,0.17568346858024597,0.9691630005836487,0.10961157083511353
5,0.9482424855232239,0.0010000000474974513,0.14923271536827087,0.9735682606697083,0.10241363942623138
6,0.9567075371742249,0.0010000000474974513,0.12226126343011856,0.9515418410301208,0.11267861723899841
7,0.9657368659973145,0.0010000000474974513,0.09943056106567383,0.9515418410301208,0.11190537363290787
8,0.9696872234344482,0.0010000000474974513,0.08798340708017349,0.9515418410301208,0.17272160947322845
9,0.9715414643287659,0.0010000000474974513,0.08223524689674377,0.9735682606697083,0.08029129356145859
10,0.973153829574585,0.0010000000474974513,0.07833398133516312,0.9647576808929443,0.07915987819433212
11,0.9914543628692627,0.00010000000474974513,0.029024040326476097,0.9691630005836487,0.08469339460134506
12,0.9933086037635803,0.00010000000474974513,0.021823441609740257,0.9691630005836487,0.08557479828596115
13,0.9941148161888123,0.00010000000474974513,0.018189264461398125,0.9691630005836487,0.08726799488067627
14,0.9953240752220154,0.00010000000474974513,0.016156760975718498,0.9691630005836487,0.10041569918394089
